Name, Regularität, k-zus. Zahl, Anz. Knoten, Anz. Automorphismen, Anz. ColMat mit Färb., Anz Färb. 
Tetrahedral-Graph,3,3,4,24.0,4,46
Octahedral-Graph,4,4,6,48.0,7,71
Dodecahedral-Graph,3,3,20,120.0,10,164
Icosahedral-Graph,5,5,12,120.0,10,553
Petersen-Graph,3,3,10,120.0,6,92
"K_{1,1}",1,1,2,2.0,0,0
"K_{2,2}",2,2,4,8.0,0,0
"K_{3,3}",3,3,6,72.0,6,83
"K_{4,4}",4,4,8,1152.0,11,970
"K_{5,5}",5,5,10,28800.0,13,5507
K_{1},0,0,1,1.0,0,0
K_{2},1,1,2,2.0,0,0
K_{3},2,2,3,6.0,0,0
K_{4},3,3,4,24.0,4,46
K_{5},4,4,5,120.0,5,125
K_{6},5,5,6,720.0,8,521
K_{7},6,6,7,5040.0,0,0
K_{8},7,7,8,40320.0,0,0
K_{9},8,8,9,362880.0,0,0
K_{10},9,9,10,3628800.0,0,0
